2012-03-08T20:04:12+00:00 INFO (6): Beginning indexing operations
2012-03-08T20:04:12+00:00 INFO (6): Using manual version 1.11
2012-03-08T20:04:12+00:00 INFO (6): Indexing to directory "build/indexes"; ensuring exists and empty
2012-03-08T20:04:12+00:00 INFO (6): Using directory "/home/matthew/git/zf-standard/documentation/manual" as manual source
2012-03-08T20:07:59+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.captcha.introduction.html
2012-03-08T20:07:59+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.codegenerator.html
2012-03-08T20:08:00+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.short-url.html
2012-03-08T20:08:00+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.session.global_session_management.html
2012-03-08T20:08:00+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.technorati.html
2012-03-08T20:08:00+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.layout.quickstart.html
2012-03-08T20:08:00+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.nirvanix.html
2012-03-08T20:08:01+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.windowsazure.storage.table.html
2012-03-08T20:08:01+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.wildfire.html
2012-03-08T20:08:01+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.captcha.adapters.html
2012-03-08T20:08:01+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.file.transfer.validators.html
2012-03-08T20:08:01+00:00 INFO (6):     Indexing: /manual/1.11/ja/requirements.introduction.html
2012-03-08T20:08:02+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.paginator.html
2012-03-08T20:08:02+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.amazon.sqs.html
2012-03-08T20:08:03+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.filter.set.html
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.file.transfer.filters.html
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.db.select.html
2012-03-08T20:08:04+00:00 INFO (6):     Indexing: /manual/1.11/ja/zend.service.akismet.html
